date,usdinr
2010-01-01,46.61000061035156
2010-01-02,46.61000061035156
2010-01-03,46.61000061035156
2010-01-04,46.28799819946289
2010-01-05,46.119998931884766
2010-01-06,45.720001220703125
2010-01-07,45.6879997253418
2010-01-08,45.518001556396484
2010-01-09,45.518001556396484
2010-01-10,45.518001556396484
2010-01-11,45.358001708984375
2010-01-12,45.61800003051758
2010-01-13,45.487998962402344
2010-01-14,45.5629997253418
2010-01-15,45.803001403808594
2010-01-16,45.803001403808594
2010-01-17,45.803001403808594
2010-01-18,45.63800048828125
2010-01-19,45.847999572753906
2010-01-20,46.11800003051758
2010-01-21,46.108001708984375
2010-01-22,46.222999572753906
2010-01-23,46.222999572753906
2010-01-24,46.222999572753906
2010-01-25,46.077999114990234
2010-01-26,45.847999572753906
2010-01-27,46.31800079345703
2010-01-28,46.347999572753906
2010-01-29,46.097999572753906
2010-01-30,46.097999572753906
2010-01-31,46.097999572753906
2010-02-01,46.28799819946289
2010-02-02,46.099998474121094
2010-02-03,45.900001525878906
2010-02-04,46.209999084472656
2010-02-05,46.619998931884766
2010-02-06,46.619998931884766
2010-02-07,46.619998931884766
2010-02-08,46.709999084472656
2010-02-09,46.38999938964844
2010-02-10,46.37799835205078
2010-02-11,46.400001525878906
2010-02-12,46.400001525878906
2010-02-13,46.400001525878906
2010-02-14,46.400001525878906
2010-02-15,46.3380012512207
2010-02-16,45.97999954223633
2010-02-17,46.007999420166016
2010-02-18,46.13999938964844
2010-02-19,46.18000030517578
2010-02-20,46.18000030517578
2010-02-21,46.18000030517578
2010-02-22,46.099998474121094
2010-02-23,46.268001556396484
2010-02-24,46.28799819946289
2010-02-25,46.29999923706055
2010-02-26,45.900001525878906
2010-02-27,45.900001525878906
2010-02-28,45.900001525878906
2010-03-01,46.0
2010-03-02,46.02799987792969
2010-03-03,45.54999923706055
2010-03-04,45.66999816894531
2010-03-05,45.45000076293945
2010-03-06,45.45000076293945
2010-03-07,45.45000076293945
2010-03-08,45.400001525878906
2010-03-09,45.54999923706055
2010-03-10,45.310001373291016
2010-03-11,45.45000076293945
2010-03-12,45.49800109863281
2010-03-13,45.49800109863281
2010-03-14,45.49800109863281
2010-03-15,45.55799865722656
2010-03-16,45.38999938964844
2010-03-17,45.279998779296875
2010-03-18,45.38999938964844
2010-03-19,45.25
2010-03-20,45.25
2010-03-21,45.25
2010-03-22,45.470001220703125
2010-03-23,45.400001525878906
2010-03-24,45.400001525878906
2010-03-25,45.487998962402344
2010-03-26,45.11000061035156
2010-03-27,45.11000061035156
2010-03-28,45.11000061035156
2010-03-29,44.79999923706055
2010-03-30,44.939998626708984
2010-03-31,44.79999923706055
2010-04-01,44.599998474121094
2010-04-02,44.80799865722656
2010-04-03,44.80799865722656
2010-04-04,44.80799865722656
2010-04-05,44.36000061035156
2010-04-06,44.34000015258789
2010-04-07,44.400001525878906
2010-04-08,44.34000015258789
2010-04-09,44.119998931884766
2010-04-10,44.119998931884766
2010-04-11,44.119998931884766
2010-04-12,44.34000015258789
2010-04-13,44.577999114990234
2010-04-14,44.209999084472656
2010-04-15,44.290000915527344
2010-04-16,44.31800079345703
2010-04-17,44.31800079345703
2010-04-18,44.31800079345703
2010-04-19,44.72800064086914
2010-04-20,44.38999938964844
2010-04-21,44.400001525878906
2010-04-22,44.439998626708984
2010-04-23,44.290000915527344
2010-04-24,44.290000915527344
2010-04-25,44.290000915527344
2010-04-26,44.25
2010-04-27,44.45000076293945
2010-04-28,44.5
2010-04-29,44.45000076293945
2010-04-30,44.25
2010-05-01,44.25
2010-05-02,44.25
2010-05-03,44.400001525878906
2010-05-04,44.54999923706055
2010-05-05,44.849998474121094
2010-05-06,45.459999084472656
2010-05-07,45.417999267578125
2010-05-08,45.417999267578125
2010-05-09,45.417999267578125
2010-05-10,44.76300048828125
2010-05-11,44.9900016784668
2010-05-12,44.95000076293945
2010-05-13,44.939998626708984
2010-05-14,45.25
2010-05-15,45.25
2010-05-16,45.25
2010-05-17,45.52799987792969
2010-05-18,45.560001373291016
2010-05-19,46.27299880981445
2010-05-20,46.7400016784668
2010-05-21,46.917999267578125
2010-05-22,46.917999267578125
2010-05-23,46.917999267578125
2010-05-24,46.810001373291016
2010-05-25,47.47999954223633
2010-05-26,47.099998474121094
2010-05-27,46.720001220703125
2010-05-28,46.29999923706055
2010-05-29,46.29999923706055
2010-05-30,46.29999923706055
2010-05-31,46.358001708984375
2010-06-01,47.08300018310547
2010-06-02,46.79999923706055
2010-06-03,46.5
2010-06-04,46.86000061035156
2010-06-05,46.86000061035156
2010-06-06,46.86000061035156
2010-06-07,46.790000915527344
2010-06-08,46.83000183105469
2010-06-09,46.810001373291016
2010-06-10,46.75
2010-06-11,46.75
2010-06-12,46.75
2010-06-13,46.75
2010-06-14,46.400001525878906
2010-06-15,46.400001525878906
2010-06-16,46.40999984741211
2010-06-17,46.09000015258789
2010-06-18,46.0099983215332
2010-06-19,46.0099983215332
2010-06-20,46.0099983215332
2010-06-21,45.65999984741211
2010-06-22,46.02000045776367
2010-06-23,46.150001525878906
2010-06-24,46.2599983215332
2010-06-25,46.150001525878906
2010-06-26,46.150001525878906
2010-06-27,46.150001525878906
2010-06-28,46.099998474121094
2010-06-29,46.40999984741211
2010-06-30,46.400001525878906
2010-07-01,46.40999984741211
2010-07-02,46.560001373291016
2010-07-03,46.560001373291016
2010-07-04,46.560001373291016
2010-07-05,46.72800064086914
2010-07-06,46.599998474121094
2010-07-07,46.95000076293945
2010-07-08,46.650001525878906
2010-07-09,46.52000045776367
2010-07-10,46.52000045776367
2010-07-11,46.52000045776367
2010-07-12,46.65999984741211
2010-07-13,46.40999984741211
2010-07-14,46.599998474121094
2010-07-15,46.45000076293945
2010-07-16,46.70000076293945
2010-07-17,46.70000076293945
2010-07-18,46.70000076293945
2010-07-19,46.09000015258789
2010-07-20,47.25
2010-07-21,47.06999969482422
2010-07-22,47.040000915527344
2010-07-23,46.88999938964844
2010-07-24,46.88999938964844
2010-07-25,46.88999938964844
2010-07-26,47.042999267578125
2010-07-27,46.64799880981445
2010-07-28,46.689998626708984
2010-07-29,46.459999084472656
2010-07-30,46.36000061035156
2010-07-31,46.36000061035156
2010-08-01,46.36000061035156
2010-08-02,46.0880012512207
2010-08-03,46.12799835205078
2010-08-04,46.12799835205078
2010-08-05,46.0
2010-08-06,46.055999755859375
2010-08-07,46.055999755859375
2010-08-08,46.055999755859375
2010-08-09,45.95800018310547
2010-08-10,46.077999114990234
2010-08-11,46.310001373291016
2010-08-12,46.59000015258789
2010-08-13,46.709999084472656
