number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
10,0.2801981730003389,2026-07-17 10:54:51.942299,2026-07-17 10:54:57.591910,0 days 00:00:05.649611,0.6836866265709927,0.09679374037124161,12,100,480,126,3.101843308236689e-08,1.5314645274672528e-05,0.7605316622632705,COMPLETE
11,0.2745048112111029,2026-07-17 10:54:57.591910,2026-07-17 10:55:12.345433,0 days 00:00:14.753523,0.9933866862394922,0.01840463597325403,6,71,995,16,0.009025264887324481,9.58765533111014,0.7935314620136233,COMPLETE
12,0.2669093384056184,2026-07-17 10:55:12.345433,2026-07-17 10:55:18.095477,0 days 00:00:05.750044,0.8138845534426472,0.07256062357576042,3,62,998,60,0.012571285878342518,0.000204533106867416,0.764371325837019,COMPLETE
13,0.2714802420212637,2026-07-17 10:55:18.095477,2026-07-17 10:55:31.809092,0 days 00:00:13.713615,0.7805299196561529,0.08600749875284466,11,81,908,60,0.023689094842298405,5.8889886857631845e-05,0.7606149245404968,COMPLETE
14,0.26838191913661225,2026-07-17 10:55:31.809092,2026-07-17 10:55:44.382279,0 days 00:00:12.573187,0.794652633576459,0.009160685169333641,3,52,555,105,0.00014932671708399345,0.00032501576892582596,0.7087395400715115,COMPLETE
15,0.2924622533475807,2026-07-17 10:55:44.382279,2026-07-17 10:55:48.322820,0 days 00:00:03.940541,0.8050583220986901,0.00501591683001304,3,53,554,105,0.11500842536743615,0.0009494630331831859,0.8072139844830325,COMPLETE
16,0.2725022423216848,2026-07-17 10:55:48.322820,2026-07-17 10:55:51.271893,0 days 00:00:02.949073,0.7075748717183411,0.009935846899848673,3,51,474,68,0.00041667530239925405,0.0010506964645087106,0.6945061706099669,COMPLETE
17,0.27189107444809113,2026-07-17 10:55:51.271893,2026-07-17 10:56:04.128108,0 days 00:00:12.856215,0.7166930712510963,0.028924451692826696,3,30,1399,37,0.0010998662779779986,3.428613447315638e-06,0.8268460116215264,COMPLETE
18,0.27173116112055906,2026-07-17 10:56:04.128108,2026-07-17 10:56:12.495711,0 days 00:00:08.367603,0.8342657493056101,0.0543057531424177,4,61,623,102,0.19622492734861444,0.0003872105796467839,0.7280765888850947,COMPLETE
19,0.281694182231148,2026-07-17 10:56:12.495711,2026-07-17 10:56:18.658299,0 days 00:00:06.162588,0.7527365515610399,0.010474768679382462,5,40,378,74,3.431570787081309e-05,0.005221658245035943,0.6184658591977372,COMPLETE
20,0.2696159207721432,2026-07-17 10:56:18.658299,2026-07-17 10:56:25.731107,0 days 00:00:07.072808,0.8849854621393011,0.018037740616307425,3,91,1014,100,1.1908253164572562e-07,0.0001876220300647747,0.8355273502792595,COMPLETE
21,0.26923869209025125,2026-07-17 10:56:25.731107,2026-07-17 10:56:32.745962,0 days 00:00:07.014855,0.878881834453363,0.016106939129204252,3,91,1024,102,8.227162680174402e-08,0.0001751980721153963,0.8420101193075202,COMPLETE
22,0.27055999409330406,2026-07-17 10:56:32.745962,2026-07-17 10:56:44.019095,0 days 00:00:11.273133,0.8191084783796594,0.008921500896873274,4,89,1175,118,1.6809555485656402e-08,6.3957015267530846e-06,0.7560628071613599,COMPLETE
23,0.26819442456592807,2026-07-17 10:56:44.019095,2026-07-17 10:56:55.040063,0 days 00:00:11.020968,0.886162040947943,0.007483637514579904,5,74,925,92,1.89859380163912e-07,0.00011823260565395197,0.8598188126561469,COMPLETE
24,0.26757708176166795,2026-07-17 10:56:55.040063,2026-07-17 10:57:04.898601,0 days 00:00:09.858538,0.8001474045616088,0.0073300491555802275,5,72,905,92,2.19834296098453e-05,0.006181830778268449,0.92024266778731,COMPLETE
25,0.2715553672831171,2026-07-17 10:57:04.898601,2026-07-17 10:57:15.403926,0 days 00:00:10.505325,0.7389029192788783,0.005016231359105846,5,72,957,73,3.524305959601521e-07,0.01751469158118094,0.9409878524637957,COMPLETE
26,0.2691170093344386,2026-07-17 10:57:15.403926,2026-07-17 10:57:26.684141,0 days 00:00:11.280215,0.8558624517455755,0.007468957780648962,5,59,867,48,1.2770040597892493e-05,0.0033720171840831877,0.9256887846474857,COMPLETE
27,0.2729347603615393,2026-07-17 10:57:26.684141,2026-07-17 10:57:41.372838,0 days 00:00:14.688697,0.8925277744827879,0.07957521049443829,7,74,1118,91,0.001900654848685516,0.5665577634916875,0.8810394432008705,COMPLETE
28,0.2697391276811032,2026-07-17 10:57:41.372838,2026-07-17 10:57:52.311794,0 days 00:00:10.938956,0.652263587696853,0.02489512407643305,6,67,1249,92,3.130434908762758e-05,1.074671338608449e-06,0.8602614825636815,COMPLETE
29,0.27644455675354007,2026-07-17 10:57:52.311794,2026-07-17 10:58:02.858340,0 days 00:00:10.546546,0.8374258091868036,0.025200060424052286,4,84,1292,76,0.2233196300736199,0.014474400490634686,0.9985442660616959,COMPLETE
