date,actual,predicted
2024-08-19,2.197999954223633,2.2286885084996517
2024-08-20,2.177000045776367,2.2019536722833197
2024-08-21,2.052999973297119,2.184580614217869
2024-08-22,2.0220000743865967,2.061840375567484
2024-08-23,1.955999970436096,2.029340102552024
2024-08-26,1.9040000438690183,2.066414307973227
2024-08-27,1.9299999475479128,2.020786103189903
2024-08-28,2.13700008392334,2.0347507104140243
2024-08-29,2.127000093460083,2.095927069955781
2024-08-30,2.203000068664551,2.1147947509148
2024-09-03,2.1449999809265137,2.1737560206197637
2024-09-04,2.253999948501587,2.130544600027818
2024-09-05,2.275000095367432,2.2158046461806515
2024-09-06,2.1700000762939453,2.2219564877978244
2024-09-09,2.2320001125335693,2.18806492750608
2024-09-10,2.2699999809265137,2.203181629778067
2024-09-11,2.3570001125335693,2.219564027214872
2024-09-12,2.305000066757202,2.295022625375911
2024-09-13,2.372999906539917,2.249581801110712
2024-09-16,2.3239998817443848,2.3544974899776303
2024-09-17,2.2839999198913574,2.260481270482784
2024-09-18,2.3480000495910645,2.271068865251607
2024-09-19,2.434000015258789,2.2671339449317363
2024-09-20,2.61299991607666,2.3683352577227947
2024-09-23,2.5510001182556152,2.557763108854824
2024-09-24,2.63700008392334,2.492930322735645
2024-09-25,2.5850000381469727,2.5572184917817644
2024-09-26,2.9019999504089355,2.5281225686816193
2024-09-27,2.9230000972747803,2.775381940627867
2024-09-30,2.8959999084472656,2.8305600484345863
2024-10-01,2.885999917984009,2.736545243434907
2024-10-02,2.970000028610229,2.775657598566574
2024-10-03,2.8540000915527344,2.879712288852364
2024-10-04,2.746000051498413,2.7507318363547015
2024-10-07,2.7330000400543213,2.6340446586593527
2024-10-08,2.6600000858306885,2.5776083519077266
2024-10-09,2.674999952316284,2.541106412000762
2024-10-10,2.631999969482422,2.5443450622905823
2024-10-11,2.49399995803833,2.529798204476278
2024-10-14,2.497999906539917,2.4337411599773087
2024-10-15,2.367000102996826,2.4315515594257198
2024-10-16,2.3469998836517334,2.342676209841515
2024-10-17,2.257999897003174,2.313959976474514
2024-10-18,2.312000036239624,2.2330640343360946
2024-10-21,2.311000108718872,2.2925463110738007
2024-10-22,2.3420000076293945,2.3121081743215206
2024-10-23,2.5220000743865967,2.2504341579932805
2024-10-24,2.559999942779541,2.4158798957955985
2024-10-25,2.309000015258789,2.446722200134944
2024-10-28,2.345999956130981,2.3365083174434784
2024-10-29,2.845000028610229,2.3002746098356006
2024-10-30,2.7070000171661377,2.6643182500187024
2024-10-31,2.6630001068115234,2.5789001505344107
2024-11-01,2.7809998989105225,2.55576811390278
2024-11-04,2.6700000762939453,2.6779744249464854
2024-11-05,2.746999979019165,2.61471525772306
2024-11-06,2.693000078201294,2.6756076831718167
2024-11-07,2.6689999103546143,2.588090126299785
2024-11-08,2.9200000762939453,2.5850109007647704
2024-11-11,2.907000064849853,2.778801411294982
2024-11-12,2.9830000400543213,2.7728098260441265
2024-11-13,2.7850000858306885,2.8470546064469313
2024-11-14,2.822999954223633,2.648408404526116
2024-11-15,2.9730000495910645,2.6636264579235984
2024-11-18,2.997999906539917,2.8337346523873888
2024-11-19,3.193000078201294,2.823466684260112
2024-11-20,3.33899998664856,2.9669848462947273
2024-11-21,3.128999948501587,3.105276441533836
2024-11-22,3.36899995803833,2.9895088853511056
2024-11-25,3.430999994277954,3.1395276308052535
2024-11-26,3.2039999961853027,3.1854229405910264
2024-11-27,3.36299991607666,3.0363124219191344
2024-11-29,3.213000059127808,3.1893865427349146
2024-12-02,3.0420000553131104,2.951907540296741
2024-12-03,3.0429999828338623,2.8691483576273322
2024-12-04,3.0789999961853027,2.7813774836087086
2024-12-05,3.075999975204468,2.8327154261958674
2024-12-06,3.181999921798706,2.87612933445593
2024-12-09,3.1630001068115234,2.9445505925604
2024-12-10,3.378000020980835,2.9188378667154455
2024-12-11,3.4549999237060547,3.106261564697972
2024-12-12,3.2799999713897705,3.1681345240765717
2024-12-13,3.21399998664856,3.0322237546225597
2024-12-16,3.308000087738037,3.0151474665501166
2024-12-17,3.374000072479248,3.053663523134027
2024-12-18,3.5840001106262207,3.148453465141035
2024-12-19,3.747999906539917,3.3655169194176806
2024-12-20,3.6559998989105225,3.4757934434241102
2024-12-23,3.946000099182129,3.446108379217158
2024-12-24,3.714999914169312,3.6288585150351347
2024-12-26,3.513999938964844,3.471774095348261
2024-12-27,3.936000108718872,3.272615044420649
2024-12-30,3.632999897003174,3.580405960919409
2024-12-31,3.660000085830689,3.327978440714563
2025-01-02,3.3540000915527344,3.3946600507524027
2025-01-03,3.671999931335449,3.0452731224152485
2025-01-06,3.4489998817443848,3.386734306842032
2025-01-07,3.651000022888184,3.152474391549036
2025-01-08,3.700999975204468,3.4459880873343205
2025-01-09,3.989000082015991,3.331188011544524
2025-01-10,3.934000015258789,3.7458981113746943
2025-01-13,3.9679999351501465,3.6033400663426898
2025-01-14,4.083000183105469,3.731997158492123
2025-01-15,4.257999897003174,3.776192573073836
2025-01-16,3.947999954223633,3.9520274572629495
2025-01-17,3.75600004196167,3.6417398477827634
2025-01-21,3.9600000381469727,3.4694072594898304
2025-01-22,3.944999933242798,3.5673717155118996
2025-01-23,4.026999950408936,3.6271847456826145
2025-01-24,3.697000026702881,3.7013159722449607
2025-01-27,3.470999956130981,3.5017121147129795
2025-01-28,3.5350000858306885,3.2509656958265554
2025-01-29,3.046999931335449,3.2359809270541406
2025-01-30,3.0439999103546143,2.9429166435575436
2025-01-31,3.351999998092652,2.840896880654209
2025-02-03,3.253000020980835,3.0594620337769354
2025-02-04,3.359999895095825,3.0179898759131767
2025-02-05,3.407999992370605,3.178845041521127
2025-02-06,3.309000015258789,3.145501486495901
2025-02-07,3.444000005722046,3.0323129484422515
2025-02-10,3.5190000534057617,3.269647014575423
2025-02-11,3.565000057220459,3.323579785731483
2025-02-12,3.628000020980835,3.3409394301138566
2025-02-13,3.724999904632568,3.3876836784629023
2025-02-14,4.006999969482422,3.470113012989403
2025-02-18,4.28000020980835,3.672406671731519
2025-02-19,4.151999950408936,3.6305491682014694
2025-02-20,4.234000205993652,3.89319305277204
2025-02-21,3.99399995803833,3.8173309463531804
2025-02-24,4.173999786376953,3.6254913295780122
2025-02-25,3.9059998989105225,3.7982580119436493
2025-02-26,3.934000015258789,3.4610831996220153
2025-02-27,3.8340001106262207,3.6721941507156073
2025-02-28,4.122000217437744,3.5275183269270074
2025-03-03,4.349999904632568,3.744495216134826
2025-03-04,4.449999809265137,3.946706146799138
2025-03-05,4.302000045776367,4.212781567641001
2025-03-06,4.39900016784668,3.8731692567850624
2025-03-07,4.491000175476074,4.0908674495686155
2025-03-10,4.453000068664551,4.1221973713719215
2025-03-11,4.084000110626221,4.021316046425946
2025-03-12,4.111000061035156,3.788560355039451
2025-03-13,4.104000091552734,3.7737064589662266
2025-03-14,4.01800012588501,3.7006472460396935
2025-03-17,4.052000045776367,3.754892367439062
2025-03-18,4.247000217437744,3.7583678896712307
2025-03-19,3.974999904632568,3.9965695580643747
2025-03-20,3.9800000190734863,3.7299735892885155
2025-03-21,3.9140000343322754,3.7716509737553356
2025-03-24,3.839999914169312,3.694509100800279
2025-03-25,3.861000061035156,3.64391834515391
2025-03-26,3.950000047683716,3.697091221055348
2025-03-27,4.065000057220459,3.7592178948167048
2025-03-28,4.11899995803833,3.8322378567318935
2025-03-31,3.950999975204468,3.837738463773613
2025-04-01,4.054999828338623,3.6768226075501933
2025-04-02,4.138000011444092,3.7547102235037237
2025-04-03,3.836999893188477,3.8360021175769368
2025-04-04,3.6549999713897705,3.558974427297065
2025-04-07,3.4649999141693115,3.4542981368657295
2025-04-08,3.815999984741211,3.267673838608373
2025-04-09,3.556999921798706,3.4809680531431253
2025-04-10,3.5269999504089355,3.362930678857408
2025-04-11,3.325000047683716,3.3777717908914138
2025-04-14,3.3289999961853027,3.1873835014364924
2025-04-15,3.246999979019165,3.1175749894606093
2025-04-16,3.244999885559082,3.0957354502390433
2025-04-17,3.0160000324249268,3.1017119364360632
2025-04-21,3.006999969482422,2.9467910684406706
2025-04-22,3.0220000743865967,2.889611768047934
2025-04-23,2.930000066757202,2.8998118178386356
2025-04-24,2.937000036239624,2.8335596845961444
2025-04-25,3.1700000762939453,2.8649918888337393
2025-04-28,3.385999917984009,2.932261741556844
2025-04-29,3.325999975204468,3.136561295873237
2025-04-30,3.4790000915527344,3.092614282633041
2025-05-01,3.630000114440918,3.352881049857643
2025-05-02,3.549999952316284,3.40363516510799
2025-05-05,3.463000059127808,3.3647246072049537
2025-05-06,3.621000051498413,3.290551899776506
2025-05-07,3.5920000076293945,3.416910749766398
2025-05-08,3.795000076293945,3.353073197243439
2025-05-09,3.6459999084472656,3.5060383543502054
2025-05-12,3.6470000743865967,3.3873319039489203
2025-05-13,3.492000102996826,3.4541743415757367
2025-05-14,3.361999988555908,3.2265050316334625
2025-05-15,3.3340001106262207,3.156809954946973
2025-05-16,3.11299991607666,3.1738302994350596
2025-05-19,3.427000045776367,2.9712449804624
2025-05-20,3.368000030517578,3.1584874049632554
2025-05-21,3.253000020980835,3.194940408009667
2025-05-22,3.3340001106262207,3.03672534848805
2025-05-23,3.3980000019073486,3.1016872596302956
2025-05-27,3.2039999961853027,3.2186647970463396
2025-05-28,3.5220000743865967,3.1397954593683175
2025-05-29,3.447000026702881,3.3091735737746197
2025-05-30,3.694000005722046,3.2271187219581114
2025-06-02,3.721999883651733,3.4446503124060115
2025-06-03,3.7160000801086426,3.459867443118839
2025-06-04,3.677000045776367,3.4970215349738702
2025-06-05,3.783999919891357,3.4456511367766773
2025-06-06,3.634999990463257,3.5381071825801995
2025-06-09,3.532999992370605,3.374174098568016
2025-06-10,3.506999969482422,3.303287804727539
2025-06-11,3.492000102996826,3.271121249272915
2025-06-12,3.5810000896453857,3.2668358043720387
2025-06-13,3.747999906539917,3.3279256643798245
2025-06-16,3.8510000705718994,3.4869892381350835
2025-06-17,3.989000082015991,3.594613185882072
2025-06-18,3.846999883651733,3.7577469774703984
2025-06-20,3.697999954223633,3.5793329125882223
2025-06-23,3.5369999408721924,3.452299448449262
2025-06-24,3.4059998989105225,3.2391969135933527
2025-06-25,3.260999917984009,3.13834116205116
2025-06-26,3.739000082015991,3.1099637630609784
2025-06-27,3.4560000896453857,3.466636251303515
2025-06-30,3.414999961853028,3.221567897647674
2025-07-01,3.48799991607666,3.1726481475242236
2025-07-02,3.4089999198913574,3.1826134317692554
2025-07-03,3.38700008392334,3.1199622523228108
2025-07-04,3.4119999408721924,3.157231131666481
2025-07-07,3.3399999141693115,3.1944173997457384
2025-07-08,3.21399998664856,3.0992618489249133
2025-07-09,3.336999893188477,3.0531472205775767
2025-07-10,3.313999891281128,3.1020520715125572
2025-07-11,3.4660000801086426,3.0864441750736527
2025-07-14,3.5230000019073486,3.245148582212004
2025-07-15,3.5510001182556152,3.2654674918955005
2025-07-16,3.5420000553131104,3.326100618231097
2025-07-17,3.565000057220459,3.321511873935099
2025-07-18,3.325000047683716,3.354814345871263
2025-07-21,3.252000093460083,3.0863457027448407
2025-07-22,3.07699990272522,3.0526128850862695
2025-07-23,3.094000101089477,2.9410548145045463
2025-07-24,3.109999895095825,2.9443931676897694
2025-07-25,2.98799991607666,2.9379323512786355
